Year,Nb of Crashes
1944,945
1943,815
1945,737
1942,698
1951,491
1940,459
1950,426
1946,424
1978,408
1952,404
1948,391
1979,383
1980,379
1972,376
1973,372
1977,372
1947,371
1969,364
1967,353
1949,351
1987,341
1968,340
1953,337
1989,337
1941,335
1975,332
1970,331
1981,320
1974,317
1971,312
1982,309
1976,307
1988,306
1993,299
1985,296
1995,295
1965,293
1954,290
1983,289
1992,289
1984,284
1990,282
1966,281
1955,280
1986,276
1964,273
1996,273
1958,272
1991,269
1957,264
1961,262
1962,262
1929,255
1997,252
1998,250
1994,249
1956,244
1959,242
1939,239
1960,234
1999,234
2000,231
1928,230
2002,230
2001,229
2003,225
1936,215
2006,212
2008,212
1963,211
2005,211
1938,204
2004,195
2007,195
2010,188
1930,187
1935,183
2009,182
2011,180
2012,178
2015,175
2013,173
2014,167
1937,165
1931,164
2016,152
1933,151
2019,145
1932,142
1921,138
1934,137
1927,133
2018,131
2017,129
1920,128
2020,113
2021,113
1922,106
1926,103
1919,83
